,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,match report,team
39,5/13/2023,15:00,Matchweek 36,Sat,Away,,,,Crystal Palace,1.042857143,1.708571429,39.77142857,Head-to-Head,Bournemouth
40,5/20/2023,15:00,Matchweek 37,Sat,Home,,,,Manchester Utd,1.042857143,1.708571429,39.77142857,Head-to-Head,Bournemouth
41,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Everton,1.042857143,1.708571429,39.77142857,Head-to-Head,Bournemouth
52,5/14/2023,14:00,Matchweek 36,Sun,Away,,,,Brentford,1.3,1.351428571,41.2,Head-to-Head,West Ham
54,5/21/2023,13:30,Matchweek 37,Sun,Home,,,,Leeds United,1.3,1.351428571,41.2,Head-to-Head,West Ham
55,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Leicester City,1.3,1.351428571,41.2,Head-to-Head,West Ham
42,5/13/2023,15:00,Matchweek 36,Sat,Away,,,,Chelsea,1.06,1.742857143,38.6,Head-to-Head,Nott'ham Forest
43,5/20/2023,17:30,Matchweek 37,Sat,Home,,,,Arsenal,1.06,1.742857143,38.6,Head-to-Head,Nott'ham Forest
44,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Crystal Palace,1.06,1.742857143,38.6,Head-to-Head,Nott'ham Forest
38,5/14/2023,14:00,Matchweek 36,Sun,Home,,,,Manchester City,1.162857143,1.794285714,42.91428571,Head-to-Head,Everton
39,5/20/2023,15:00,Matchweek 37,Sat,Away,,,,Wolves,1.162857143,1.794285714,42.91428571,Head-to-Head,Everton
40,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Bournemouth,1.162857143,1.794285714,42.91428571,Head-to-Head,Everton
42,5/15/2023,20:00,Matchweek 36,Mon,Home,,,,Liverpool,1.388571429,1.648571429,48.8,Head-to-Head,Leicester City
43,5/22/2023,20:00,Matchweek 37,Mon,Away,,,,Newcastle Utd,1.388571429,1.648571429,48.8,Head-to-Head,Leicester City
44,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,West Ham,1.388571429,1.648571429,48.8,Head-to-Head,Leicester City
41,5/13/2023,12:30,Matchweek 36,Sat,Home,,,,Newcastle Utd,1.228571429,1.725714286,47.31428571,Head-to-Head,Leeds United
42,5/21/2023,13:30,Matchweek 37,Sun,Away,,,,West Ham,1.228571429,1.725714286,47.31428571,Head-to-Head,Leeds United
43,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Tottenham,1.228571429,1.725714286,47.31428571,Head-to-Head,Leeds United
44,5/13/2023,15:00,Matchweek 36,Sat,Home,,,,Fulham,1.002857143,1.522857143,45.37142857,Head-to-Head,Southampton
45,5/21/2023,14:00,Matchweek 37,Sun,Away,,,,Brighton,1.002857143,1.522857143,45.37142857,Head-to-Head,Southampton
46,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Liverpool,1.002857143,1.522857143,45.37142857,Head-to-Head,Southampton
